,Date,10591226
0,21-8-2022,231061
1,28-8-2022,223789
2,14-8-2022,217962
3,07-8-2022,207688
4,31-7-2022,193855
5,04-9-2022,154977
6,19-8-2022,154013
7,17-7-2022,152934
8,24-7-2022,152864
9,26-8-2022,149312
10,05-9-2022,148029
11,12-8-2022,146669
12,18-8-2022,141406
13,05-8-2022,140832
14,25-8-2022,138784
15,11-8-2022,136427
16,20-8-2022,135683
17,01-9-2022,132957
18,13-8-2022,130205
19,27-8-2022,128697
20,29-7-2022,128246
21,04-8-2022,126914
22,06-8-2022,126816
23,11-9-2022,124108
24,17-8-2022,123035
25,31-8-2022,121787
26,24-8-2022,120653
27,10-8-2022,117284
28,10-7-2022,116853
29,30-7-2022,116754
30,28-7-2022,115491
31,02-9-2022,115451
32,15-8-2022,114208
33,03-8-2022,110494
34,18-9-2022,110228
35,15-7-2022,110223
36,22-8-2022,109414
37,08-8-2022,105769
38,16-8-2022,105601
39,29-8-2022,105322
40,01-8-2022,104605
41,20-7-2022,101556
42,23-8-2022,101076
43,27-7-2022,100825
44,09-8-2022,99752
45,14-7-2022,98638
46,30-8-2022,98359
47,16-7-2022,96260
48,02-8-2022,94863
49,25-9-2022,93757
50,21-7-2022,92094
51,03-9-2022,89486
52,22-7-2022,88460
53,25-7-2022,87686
54,23-7-2022,87330
55,19-7-2022,86782
56,13-7-2022,85823
57,18-7-2022,84509
58,26-7-2022,84404
59,08-7-2022,77963
60,02-10-2022,77397
61,09-7-2022,76030
62,12-7-2022,71907
63,09-9-2022,69808
64,11-7-2022,67849
65,09-10-2022,66650
66,07-7-2022,65430
67,16-10-2022,62022
68,16-9-2022,61843
69,10-9-2022,58812
70,08-9-2022,57510
71,23-10-2022,53902
72,15-9-2022,52923
73,06-7-2022,50098
74,17-9-2022,49478
75,23-9-2022,48596
76,12-9-2022,48251
77,06-9-2022,46986
78,04-7-2022,46495
79,14-9-2022,45042
80,07-9-2022,44373
81,03-7-2022,42474
82,19-9-2022,41630
83,24-9-2022,41541
84,22-9-2022,40034
85,30-9-2022,39374
86,30-10-2022,39279
87,05-7-2022,38263
88,26-9-2022,35278
89,13-9-2022,35107
90,13-11-2022,34831
91,06-11-2022,34633
92,01-10-2022,33971
93,21-9-2022,33679
94,10-10-2022,33442
95,29-9-2022,30021
96,03-10-2022,28888
97,08-10-2022,28101
98,20-9-2022,28054
99,02-7-2022,27342
100,07-10-2022,27049
101,15-10-2022,25220
102,20-11-2022,25137
103,28-9-2022,24778
104,14-10-2022,23645
105,27-9-2022,21395
106,17-10-2022,21302
107,06-10-2022,21237
108,22-10-2022,20716
109,21-10-2022,20671
110,27-11-2022,19762
111,05-10-2022,18851
112,24-10-2022,18011
113,13-10-2022,17872
114,04-10-2022,17422
115,04-12-2022,16606
116,20-10-2022,16249
117,28-10-2022,15685
118,29-10-2022,15541
119,11-10-2022,15328
120,26-11-2022,15107
121,12-10-2022,14778
122,11-12-2022,14731
123,05-11-2022,13167
124,12-11-2022,13090
125,19-10-2022,13029
126,31-10-2022,12853
127,27-10-2022,12122
128,18-12-2022,11952
129,18-10-2022,11689
130,04-11-2022,11549
131,26-10-2022,10870
132,07-11-2022,10857
133,14-11-2022,10686
134,01-1-2023,10284
135,19-11-2022,9786
136,25-10-2022,9701
137,25-11-2022,9478
138,21-11-2022,9343
139,11-11-2022,9005
140,18-11-2022,8631
141,03-11-2022,7491
142,10-11-2022,7373
143,02-1-2023,7078
144,28-11-2022,7055
145,01-11-2022,6965
146,26-12-2022,6964
147,05-12-2022,6749
148,17-11-2022,6637
149,03-12-2022,6454
150,30-12-2022,6352
151,10-12-2022,6162
152,08-11-2022,6161
153,23-11-2022,6125
154,31-12-2022,5938
155,08-1-2023,5937
156,02-11-2022,5873
157,19-12-2022,5836
158,15-1-2023,5802
159,09-11-2022,5768
160,27-12-2022,5746
161,16-11-2022,5725
162,19-2-2023,5551
163,22-11-2022,5528
164,29-1-2023,5522
165,14-5-2023,5477
166,15-11-2022,5453
167,26-2-2023,5436
168,17-12-2022,5419
169,12-12-2022,5322
170,22-1-2023,5317
171,29-12-2022,5142
172,05-2-2023,5134
173,23-12-2022,4896
174,28-12-2022,4877
175,05-3-2023,4802
176,26-3-2023,4790
177,02-12-2022,4758
178,07-5-2023,4699
179,12-3-2023,4674
180,09-12-2022,4639
181,19-3-2023,4591
182,12-2-2023,4523
183,24-11-2022,4518
184,16-4-2023,4404
185,30-4-2023,4254
186,16-1-2023,4254
187,24-12-2022,4165
188,21-5-2023,4085
189,22-12-2022,3950
190,02-4-2023,3945
191,16-12-2022,3717
192,23-4-2023,3717
193,03-1-2023,3661
194,25-12-2022,3588
195,08-12-2022,3559
196,29-11-2022,3477
197,01-12-2022,3455
198,21-12-2022,3403
199,20-2-2023,3396
200,20-12-2022,3332
201,07-1-2023,3117
202,07-12-2022,3062
203,25-6-2023,3060
204,30-11-2022,3015
205,06-12-2022,2950
206,11-6-2023,2900
207,15-12-2022,2849
208,29-5-2023,2779
209,04-6-2023,2708
210,13-12-2022,2677
211,28-5-2023,2630
212,06-1-2023,2395
213,18-6-2023,2365
214,14-12-2022,2347
215,14-1-2023,2326
216,09-1-2023,2301
217,04-1-2023,2226
218,28-1-2023,2180
219,21-1-2023,2127
220,16-7-2023,2122
221,25-2-2023,2104
222,05-1-2023,2094
223,18-2-2023,2083
224,22-5-2023,2044
225,04-2-2023,2016
226,09-4-2023,2013
227,23-1-2023,1986
228,09-7-2023,1975
229,12-6-2023,1963
230,23-7-2023,1960
231,15-5-2023,1924
232,13-2-2023,1901
233,18-3-2023,1868
234,11-2-2023,1864
235,03-7-2023,1849
236,11-3-2023,1807
237,13-5-2023,1764
238,30-1-2023,1747
239,08-5-2023,1738
240,06-2-2023,1736
241,06-3-2023,1732
242,13-1-2023,1722
243,24-2-2023,1705
244,20-1-2023,1687
245,02-7-2023,1672
246,17-3-2023,1666
247,27-3-2023,1657
248,27-2-2023,1651
249,13-3-2023,1636
250,01-4-2023,1635
251,17-2-2023,1600
252,03-4-2023,1581
253,08-4-2023,1556
254,27-1-2023,1542
255,06-5-2023,1511
256,10-3-2023,1494
257,01-5-2023,1472
258,15-4-2023,1471
259,10-1-2023,1467
260,17-1-2023,1465
261,25-3-2023,1458
262,21-2-2023,1414
263,07-4-2023,1393
264,04-3-2023,1391
265,26-6-2023,1383
266,30-7-2023,1360
267,20-5-2023,1348
268,10-2-2023,1343
269,22-2-2023,1327
270,20-3-2023,1315
271,16-3-2023,1306
272,17-6-2023,1297
273,24-3-2023,1287
274,24-6-2023,1281
275,12-1-2023,1279
276,27-5-2023,1260
277,10-6-2023,1248
278,03-2-2023,1245
279,01-7-2023,1241
280,19-1-2023,1237
281,05-7-2023,1235
282,23-2-2023,1230
283,30-6-2023,1207
284,03-6-2023,1203
285,31-3-2023,1187
286,26-1-2023,1187
287,11-1-2023,1180
288,15-2-2023,1165
289,18-1-2023,1165
290,17-4-2023,1155
291,29-4-2023,1152
292,15-3-2023,1151
293,24-4-2023,1148
294,06-4-2023,1143
295,10-4-2023,1133
296,16-6-2023,1118
297,06-8-2023,1109
298,23-6-2023,1096
299,19-6-2023,1094
300,12-5-2023,1085
